PVALUE;PTN;XP;YP;ZP
8;20;8344.7;6975.4;407.0
8;21;8400.0;7000.0;407.0
9;1;7600.0;6200.0;407.0
9;2;7623.8;6224.6;407.0
9;3;7657.6;6235.8;407.0
9;4;7686.0;6268.6;407.0
9;5;7702.6;6294.9;407.0
9;6;7727.9;6313.3;407.0
9;7;7736.6;6381.1;407.0
9;8;7740.6;6414.3;407.0
9;9;7751.0;6435.9;407.0
9;10;7760.2;6508.2;407.0
9;11;7813.8;6498.6;407.0
9;12;7859.3;6509.5;407.0
9;13;7889.7;6529.7;407.0
9;14;7930.1;6523.9;407.0
9;15;8006.7;6521.0;407.0
9;16;8058.7;6535.4;407.0
9;17;8120.8;6548.4;407.0
9;18;8185.8;6545.5;407.0
9;19;8205.9;6551.5;407.0
9;20;8280.9;6595.5;407.0
9;21;8320.3;6574.4;407.0
9;22;8350.5;6541.2;407.0
9;23;8375.2;6532.3;407.0
9;24;8400.0;6529.5;407.0
10;1;7600.0;6860.5;411.0
10;2;7687.5;6857.1;411.0
10;3;7732.2;6847.0;411.0
10;4;7748.9;6848.6;411.0
10;5;7787.1;6885.9;411.0
10;6;7826.0;6861.2;411.0
10;7;7878.1;6858.5;411.0
10;8;7960.5;6854.2;411.0
10;9;8004.3;6852.3;411.0
10;10;8038.5;6870.1;411.0
10;11;8067.5;6898.4;411.0
10;12;8099.1;6896.0;411.0
10;13;8158.4;6909.0;411.0
10;14;8198.8;6914.8;411.0
10;15;8224.8;6932.1;411.0
10;16;8214.7;6963.8;411.0
10;17;8222.0;7000.0;411.0
11;1;7729.1;6200.0;418.0
11;2;7756.1;6235.8;418.0
11;3;7771.2;6275.8;418.0
11;4;7764.0;6352.2;418.0
11;5;7775.1;6482.8;418.0
11;6;7816.6;6481.7;418.0
11;7;7892.6;6508.0;418.0
11;8;7928.7;6503.7;418.0
11;9;8006.7;6503.7;418.0
11;10;8061.6;6516.7;418.0
11;11;8117.9;6525.3;418.0
11;12;8187.3;6521.0;418.0
11;13;8270.6;6566.6;418.0
11;14;8334.6;6495.0;418.0
11;15;8356.9;6474.7;418.0
11;16;8378.0;6471.9;418.0
11;17;8400.0;6458.3;418.0
12;1;7600.0;6913.3;425.0
12;2;7690.3;6906.1;425.0
12;3;7740.9;6887.4;425.0
12;4;7756.2;6891.1;425.0
12;5;7784.2;6929.2;425.0
12;6;7836.2;6903.2;425.0
12;7;7904.1;6890.3;425.0
12;8;7976.4;6903.2;425.0
12;9;8006.7;6897.2;425.0
12;10;8041.4;6913.3;425.0
12;11;8066.3;6942.1;425.0
12;12;8107.8;6946.5;425.0
12;13;8121.0;7000.0;425.0
13;1;7813.1;6200.0;425.0
13;2;7820.8;6228.8;425.0
13;3;7841.9;6254.1;425.0
13;4;7849.2;6277.2;425.0
13;5;7794.3;6350.8;425.0
13;6;7788.4;6401.6;425.0
13;7;7795.5;6428.3;425.0
13;8;7793.1;6458.9;425.0
13;9;7822.2;6466.3;425.0
13;10;7895.5;6493.6;425.0
