 ID; EAST; NORTH;ELEV TOE; ELEV COLLAR; LENGTH; AZ; DIP; MATERIAL
601;550986.38;64689.52;3415;3430;0;0;-90;Blasthole
602;550978.75;64691.97;3415;3430;0;0;-90;Blasthole
603;550971.13;64694.41;3415;3430;0;0;-90;Blasthole
604;550963.5;64696.85;3415;3430;0;0;-90;Blasthole
605;550955.94;64699.3;3415;3430;0;0;-90;Blasthole
606;550948.31;64701.74;3415;3430;0;0;-90;Blasthole
607;550940.69;64704.19;3415;3430;0;0;-90;Blasthole
608;550933.06;64706.63;3415;3430;0;0;-90;Blasthole
609;550925.44;64709.08;3415;3430;0;0;-90;Blasthole
610;550917.81;64711.52;3415;3430;0;0;-90;Blasthole
611;550910.19;64713.96;3415;3430;0;0;-90;Blasthole
612;550902.56;64716.41;3415;3430;0;0;-90;Blasthole
613;550895;64718.85;3415;3430;0;0;-90;Blasthole
614;550887.13;64721.44;3415;3430;0;0;-90;Blasthole
615;550879.5;64723.94;3415;3430;0;0;-90;Blasthole
616;550871.88;64726.43;3415;3430;0;0;-90;Blasthole
617;550864.31;64728.93;3415;3430;0;0;-90;Blasthole
652;550858.31;64723.6;3415;3430;0;0;-90;Blasthole
653;550865.94;64721.1;3415;3430;0;0;-90;Blasthole
654;550873.5;64718.6;3415;3430;0;0;-90;Blasthole
655;550881.13;64716.1;3415;3430;0;0;-90;Blasthole
656;550888.75;64713.61;3415;3430;0;0;-90;Blasthole
657;550896.69;64711.03;3415;3430;0;0;-90;Blasthole
658;550904.25;64708.59;3415;3430;0;0;-90;Blasthole
659;550911.88;64706.14;3415;3430;0;0;-90;Blasthole
660;550919.5;64703.7;3415;3430;0;0;-90;Blasthole
661;550927.13;64701.25;3415;3430;0;0;-90;Blasthole
662;550934.75;64698.81;3415;3430;0;0;-90;Blasthole
663;550942.38;64696.37;3415;3430;0;0;-90;Blasthole
664;550950;64693.92;3415;3430;0;0;-90;Blasthole
665;550957.63;64691.48;3415;3430;0;0;-90;Blasthole
666;550965.25;64689.03;3415;3430;0;0;-90;Blasthole
667;550972.81;64686.59;3415;3430;0;0;-90;Blasthole
668;550980.44;64684.15;3415;3430;0;0;-90;Blasthole
705;550974.5;64678.77;3415;3430;0;0;-90;Blasthole
706;550966.94;64681.21;3415;3430;0;0;-90;Blasthole
707;550959.31;64683.66;3415;3430;0;0;-90;Blasthole
708;550951.69;64686.1;3415;3430;0;0;-90;Blasthole
709;550944.06;64688.55;3415;3430;0;0;-90;Blasthole
710;550936.44;64690.99;3415;3430;0;0;-90;Blasthole
711;550928.81;64693.43;3415;3430;0;0;-90;Blasthole
712;550921.19;64695.88;3415;3430;0;0;-90;Blasthole
713;550913.56;64698.32;3415;3430;0;0;-90;Blasthole
714;550906;64700.77;3415;3430;0;0;-90;Blasthole
715;550898.38;64703.21;3415;3430;0;0;-90;Blasthole
716;550890.75;64705.65;3415;3430;0;0;-90;Blasthole
717;550882.75;64708.27;3415;3430;0;0;-90;Blasthole
718;550875.19;64710.77;3415;3430;0;0;-90;Blasthole
719;550867.56;64713.27;3415;3430;0;0;-90;Blasthole
720;550860;64715.76;3415;3430;0;0;-90;Blasthole
721;550852.38;64718.26;3415;3430;0;0;-90;Blasthole
741;550846.44;64712.93;3415;3430;0;0;-90;Blasthole
742;550854;64710.43;3415;3430;0;0;-90;Blasthole
743;550861.63;64707.93;3415;3430;0;0;-90;Blasthole
744;550869.19;64705.43;3415;3430;0;0;-90;Blasthole
745;550876.81;64702.94;3415;3430;0;0;-90;Blasthole
746;550884.44;64700.44;3415;3430;0;0;-90;Blasthole
747;550892.44;64697.83;3415;3430;0;0;-90;Blasthole
748;550900.06;64695.39;3415;3430;0;0;-90;Blasthole
749;550907.69;64692.95;3415;3430;0;0;-90;Blasthole
750;550915.25;64690.5;3415;3430;0;0;-90;Blasthole
751;550922.88;64688.06;3415;3430;0;0;-90;Blasthole
752;550930.5;64685.61;3415;3430;0;0;-90;Blasthole
753;550938.13;64683.17;3415;3430;0;0;-90;Blasthole
754;550945.75;64680.72;3415;3430;0;0;-90;Blasthole
755;550953.38;64678.28;3415;3430;0;0;-90;Blasthole
756;550961;64675.84;3415;3430;0;0;-90;Blasthole
757;550968.63;64673.39;3415;3430;0;0;-90;Blasthole
781;550962.69;64668.02;3415;3430;0;0;-90;Blasthole
782;550955.06;64670.46;3415;3430;0;0;-90;Blasthole
783;550947.44;64672.9;3415;3430;0;0;-90;Blasthole
784;550939.81;64675.35;3415;3430;0;0;-90;Blasthole
785;550932.19;64677.79;3415;3430;0;0;-90;Blasthole
786;550924.56;64680.24;3415;3430;0;0;-90;Blasthole
787;550917;64682.68;3415;3430;0;0;-90;Blasthole
788;550909.38;64685.12;3415;3430;0;0;-90;Blasthole
789;550901.75;64687.57;3415;3430;0;0;-90;Blasthole
790;550894.13;64690.01;3415;3430;0;0;-90;Blasthole
791;550886.5;64692.46;3415;3430;0;0;-90;Blasthole
792;550878.44;64695.1;3415;3430;0;0;-90;Blasthole
793;550870.81;64697.6;3415;3430;0;0;-90;Blasthole
794;550863.25;64700.1;3415;3430;0;0;-90;Blasthole
795;550855.63;64702.6;3415;3430;0;0;-90;Blasthole
796;550848.06;64705.09;3415;3430;0;0;-90;Blasthole
807;550911.06;64677.3;3415;3430;0;0;-90;Blasthole
808;550918.69;64674.86;3415;3430;0;0;-90;Blasthole
809;550926.25;64672.42;3415;3430;0;0;-90;Blasthole
810;550933.88;64669.97;3415;3430;0;0;-90;Blasthole
811;550941.5;64667.53;3415;3430;0;0;-90;Blasthole
812;550949.13;64665.08;3415;3430;0;0;-90;Blasthole
813;550956.75;64662.64;3415;3430;0;0;-90;Blasthole
865;551032.81;64725.52;3415;3430;0;0;-90;Blasthole
866;551029;64726.75;3415;3430;0;0;-90;Blasthole
867;551025.19;64727.97;3415;3430;0;0;-90;Blasthole
868;551021.38;64729.19;3415;3430;0;0;-90;Blasthole
869;551017.56;64730.42;3415;3430;0;0;-90;Blasthole
870;551013.75;64731.64;3415;3430;0;0;-90;Blasthole
871;551010;64732.86;3415;3430;0;0;-90;Blasthole
872;551006.19;64734.09;3415;3430;0;0;-90;Blasthole
873;551002.38;64735.31;3415;3430;0;0;-90;Blasthole
874;550998.56;64736.54;3415;3430;0;0;-90;Blasthole
875;550994.75;64737.76;3415;3430;0;0;-90;Blasthole
876;550990.94;64738.98;3415;3430;0;0;-90;Blasthole
877;550987.13;64740.21;3415;3430;0;0;-90;Blasthole
878;550983.31;64741.43;3415;3430;0;0;-90;Blasthole
879;550979.5;64742.65;3415;3430;0;0;-90;Blasthole
880;550975.69;64743.88;3415;3430;0;0;-90;Blasthole
881;550971.88;64745.1;3415;3430;0;0;-90;Blasthole
882;550967.44;64746.64;3415;3430;0;0;-90;Blasthole
883;550964.25;64747.55;3415;3430;0;0;-90;Blasthole
884;550960.5;64748.77;3415;3430;0;0;-90;Blasthole
885;550956.69;64750;3415;3430;0;0;-90;Blasthole
886;550952.88;64751.22;3415;3430;0;0;-90;Blasthole
887;550949.06;64752.44;3415;3430;0;0;-90;Blasthole
888;550945.25;64753.67;3415;3430;0;0;-90;Blasthole
889;550941.44;64754.89;3415;3430;0;0;-90;Blasthole
890;550937.63;64756.12;3415;3430;0;0;-90;Blasthole
891;550933.81;64757.34;3415;3430;0;0;-90;Blasthole
892;550930;64758.56;3415;3430;0;0;-90;Blasthole
893;550926.19;64759.79;3415;3430;0;0;-90;Blasthole
894;550922.38;64761.01;3415;3430;0;0;-90;Blasthole
895;550918.56;64762.23;3415;3430;0;0;-90;Blasthole
896;550914.75;64763.46;3415;3430;0;0;-90;Blasthole
897;550910.94;64764.68;3415;3430;0;0;-90;Blasthole
898;550907.13;64765.91;3415;3430;0;0;-90;Blasthole
899;550903.38;64767.13;3415;3430;0;0;-90;Blasthole
